timestamp_utc,frequency_hz,power_db_smoothed
2026-07-14T23:00:46.128620+00:00,1420306483,-69.513
2026-07-14T23:00:46.128620+00:00,1420307948,-69.47
2026-07-14T23:00:46.128620+00:00,1420309413,-69.451
2026-07-14T23:00:46.128620+00:00,1420310878,-69.453
2026-07-14T23:00:46.128620+00:00,1420312342,-69.394
2026-07-14T23:00:46.128620+00:00,1420313807,-69.365
2026-07-14T23:00:46.128620+00:00,1420315272,-69.435
2026-07-14T23:00:46.128620+00:00,1420316737,-69.471
2026-07-14T23:00:46.128620+00:00,1420318202,-69.497
2026-07-14T23:00:46.128620+00:00,1420319667,-69.489
2026-07-14T23:00:46.128620+00:00,1420321132,-69.512
2026-07-14T23:00:46.128620+00:00,1420322596,-69.537
2026-07-14T23:00:46.128620+00:00,1420324061,-69.58
2026-07-14T23:00:46.128620+00:00,1420325526,-69.471
2026-07-14T23:00:46.128620+00:00,1420326991,-69.487
2026-07-14T23:00:46.128620+00:00,1420328456,-69.524
2026-07-14T23:00:46.128620+00:00,1420329921,-69.535
2026-07-14T23:00:46.128620+00:00,1420331385,-69.546
2026-07-14T23:00:46.128620+00:00,1420332850,-69.551
2026-07-14T23:00:46.128620+00:00,1420334315,-69.453
2026-07-14T23:00:46.128620+00:00,1420335780,-69.485
2026-07-14T23:00:46.128620+00:00,1420337245,-69.567
2026-07-14T23:00:46.128620+00:00,1420338710,-69.487
2026-07-14T23:00:46.128620+00:00,1420340175,-69.576
2026-07-14T23:00:46.128620+00:00,1420341639,-69.58
2026-07-14T23:00:46.128620+00:00,1420343104,-69.531
2026-07-14T23:00:46.128620+00:00,1420344569,-69.533
2026-07-14T23:00:46.128620+00:00,1420346034,-69.556
2026-07-14T23:00:46.128620+00:00,1420347499,-69.58
2026-07-14T23:00:46.128620+00:00,1420348964,-69.591
2026-07-14T23:00:46.128620+00:00,1420350428,-69.639
2026-07-14T23:00:46.128620+00:00,1420351893,-69.593
2026-07-14T23:00:46.128620+00:00,1420353358,-69.578
2026-07-14T23:00:46.128620+00:00,1420354823,-69.553
2026-07-14T23:00:46.128620+00:00,1420356288,-69.582
2026-07-14T23:00:46.128620+00:00,1420357753,-69.501
2026-07-14T23:00:46.128620+00:00,1420359217,-69.596
2026-07-14T23:00:46.128620+00:00,1420360682,-69.564
2026-07-14T23:00:46.128620+00:00,1420362147,-69.656
2026-07-14T23:00:46.128620+00:00,1420363612,-69.615
2026-07-14T23:00:46.128620+00:00,1420365077,-69.597
2026-07-14T23:00:46.128620+00:00,1420366542,-69.598
2026-07-14T23:00:46.128620+00:00,1420368007,-69.638
2026-07-14T23:00:46.128620+00:00,1420369471,-69.721
2026-07-14T23:00:46.128620+00:00,1420370936,-69.658
2026-07-14T23:00:46.128620+00:00,1420372401,-69.574
2026-07-14T23:00:46.128620+00:00,1420373866,-69.566
2026-07-14T23:00:46.128620+00:00,1420375331,-69.564
2026-07-14T23:00:46.128620+00:00,1420376796,-69.571
2026-07-14T23:00:46.128620+00:00,1420378260,-69.595
2026-07-14T23:00:46.128620+00:00,1420379725,-69.61
2026-07-14T23:00:46.128620+00:00,1420381190,-69.61
2026-07-14T23:00:46.128620+00:00,1420382655,-69.592
2026-07-14T23:00:46.128620+00:00,1420384120,-69.518
2026-07-14T23:00:46.128620+00:00,1420385585,-69.622
2026-07-14T23:00:46.128620+00:00,1420387050,-69.556
2026-07-14T23:00:46.128620+00:00,1420388514,-69.502
2026-07-14T23:00:46.128620+00:00,1420389979,-69.614
2026-07-14T23:00:46.128620+00:00,1420391444,-69.605
2026-07-14T23:00:46.128620+00:00,1420392909,-69.605
2026-07-14T23:00:46.128620+00:00,1420394374,-69.588
