timestamp_utc,frequency_hz,power_db
2026-03-30T07:47:37.663686+00:00,1419505900.1001,-44.67796396943777
2026-03-30T07:47:37.663686+00:00,1419507902.102102,-44.12480510649696
2026-03-30T07:47:37.663686+00:00,1419509904.104104,-43.395246300144066
2026-03-30T07:47:37.663686+00:00,1419511906.106106,-43.39974599617425
2026-03-30T07:47:37.663686+00:00,1419513908.108108,-44.370161993548976
2026-03-30T07:47:37.663686+00:00,1419515910.11011,-45.43352857752183
2026-03-30T07:47:37.663686+00:00,1419517912.112112,-42.61992347236566
2026-03-30T07:47:37.663686+00:00,1419519914.114114,-43.31769453447427
2026-03-30T07:47:37.663686+00:00,1419521916.116116,-41.26806771839902
2026-03-30T07:47:37.663686+00:00,1419523918.118118,-41.91482112962652
2026-03-30T07:47:37.663686+00:00,1419525920.12012,-41.08961876778607
2026-03-30T07:47:37.663686+00:00,1419527922.122122,-41.838453586964
2026-03-30T07:47:37.663686+00:00,1419529924.124124,-44.55789081682328
2026-03-30T07:47:37.663686+00:00,1419531926.126126,-39.88525715163366
2026-03-30T07:47:37.663686+00:00,1419533928.128128,-42.003789155827796
2026-03-30T07:47:37.663686+00:00,1419535930.13013,-40.37715933834503
2026-03-30T07:47:37.663686+00:00,1419537932.132132,-41.15703821316438
2026-03-30T07:47:37.663686+00:00,1419539934.134134,-40.51937726115434
2026-03-30T07:47:37.663686+00:00,1419541936.136136,-40.57066305950456
2026-03-30T07:47:37.663686+00:00,1419543938.138138,-40.223271593526285
2026-03-30T07:47:37.663686+00:00,1419545940.14014,-42.146810647437505
2026-03-30T07:47:37.663686+00:00,1419547942.142142,-38.86089780568856
2026-03-30T07:47:37.663686+00:00,1419549944.144144,-40.056238470266315
2026-03-30T07:47:37.663686+00:00,1419551946.146146,-40.03657069475633
2026-03-30T07:47:37.663686+00:00,1419553948.148148,-37.66234050862682
2026-03-30T07:47:37.663686+00:00,1419555950.15015,-37.26612501617349
2026-03-30T07:47:37.663686+00:00,1419557952.152152,-41.21877890221458
2026-03-30T07:47:37.663686+00:00,1419559954.154154,-36.760504884180584
2026-03-30T07:47:37.663686+00:00,1419561956.156156,-37.02840757635723
2026-03-30T07:47:37.663686+00:00,1419563958.158158,-36.957111627213514
2026-03-30T07:47:37.663686+00:00,1419565960.16016,-36.51247050293544
2026-03-30T07:47:37.663686+00:00,1419567962.162162,-42.15286159193008
2026-03-30T07:47:37.663686+00:00,1419569964.164164,-37.41186731911712
2026-03-30T07:47:37.663686+00:00,1419571966.166166,-37.6226223698069
2026-03-30T07:47:37.663686+00:00,1419573968.168168,-36.4005803961833
2026-03-30T07:47:37.663686+00:00,1419575970.17017,-36.97838811303348
2026-03-30T07:47:37.663686+00:00,1419577972.172172,-37.575434351551166
2026-03-30T07:47:37.663686+00:00,1419579974.174174,-39.04085926440684
2026-03-30T07:47:37.663686+00:00,1419581976.176176,-35.137113751128005
2026-03-30T07:47:37.663686+00:00,1419583978.178178,-37.27493256496265
2026-03-30T07:47:37.663686+00:00,1419585980.18018,-35.290024671378596
2026-03-30T07:47:37.663686+00:00,1419587982.182182,-37.911616761933345
2026-03-30T07:47:37.663686+00:00,1419589984.184184,-38.04632459501455
2026-03-30T07:47:37.663686+00:00,1419591986.186186,-37.31703275685968
2026-03-30T07:47:37.663686+00:00,1419593988.188188,-36.20815473684887
2026-03-30T07:47:37.663686+00:00,1419595990.19019,-36.59518530674762
2026-03-30T07:47:37.663686+00:00,1419597992.192192,-35.74422171122878
2026-03-30T07:47:37.663686+00:00,1419599994.194194,-34.9272252285719
2026-03-30T07:47:37.663686+00:00,1419601996.196196,-35.1463161305646
2026-03-30T07:47:37.663686+00:00,1419603998.198198,-36.31569612193713
2026-03-30T07:47:37.663686+00:00,1419606000.2002003,-35.115169472985166
2026-03-30T07:47:37.663686+00:00,1419608002.2022023,-34.58348125729378
2026-03-30T07:47:37.663686+00:00,1419610004.2042043,-34.056979662257056
2026-03-30T07:47:37.663686+00:00,1419612006.2062063,-36.058521097507125
2026-03-30T07:47:37.663686+00:00,1419614008.2082083,-33.80624677330118
2026-03-30T07:47:37.663686+00:00,1419616010.2102103,-34.63909631820018
2026-03-30T07:47:37.663686+00:00,1419618012.2122123,-36.65074922019646
2026-03-30T07:47:37.663686+00:00,1419620014.2142143,-34.63724534366875
2026-03-30T07:47:37.663686+00:00,1419622016.2162163,-34.22561339881204
2026-03-30T07:47:37.663686+00:00,1419624018.2182183,-34.55108334534151
2026-03-30T07:47:37.663686+00:00,1419626020.2202203,-34.00624841647476
2026-03-30T07:47:37.663686+00:00,1419628022.2222223,-34.36839039874594
2026-03-30T07:47:37.663686+00:00,1419630024.2242243,-34.43639578592525
2026-03-30T07:47:37.663686+00:00,1419632026.2262263,-33.90293002917114
2026-03-30T07:47:37.663686+00:00,1419634028.2282283,-32.620947352434484
2026-03-30T07:47:37.663686+00:00,1419636030.2302303,-35.78601372173792
2026-03-30T07:47:37.663686+00:00,1419638032.2322323,-33.82239800252339
2026-03-30T07:47:37.663686+00:00,1419640034.2342343,-31.97993391633128
2026-03-30T07:47:37.663686+00:00,1419642036.2362363,-35.78111871736956
2026-03-30T07:47:37.663686+00:00,1419644038.2382383,-32.75689252703253
2026-03-30T07:47:37.663686+00:00,1419646040.2402403,-34.29312134585396
2026-03-30T07:47:37.663686+00:00,1419648042.2422423,-32.93366852305039
2026-03-30T07:47:37.663686+00:00,1419650044.2442443,-35.29460378951992
2026-03-30T07:47:37.663686+00:00,1419652046.2462463,-34.543993315784014
